,paper_id,type,title,authors,doi,isbn,copyright,keywords,pages,id,source,date,abstract,disciplines,publisher
10,320581,Other,Advanced Reservoir Imaging Using Frequency-Dependent Seismic Attributes,"Fred Hilterman, U of HoustonPurna Halder, NETL",,,,,,,,,"Final Project Summary-DE-FC26-04NT15503-The project goal is to develop seismic-based technology that quantifies a reservoir’s fluid-saturation and fluid-mobility properties. The research work will provide a mechanism and frequency-dependent amplitude-versus-offset (AVO&F;) techniques to recognize, delineate, and validate new hydrocarbon reserves and assist in the development of producing fields.",,National Energy Technology Laboratory
11,320582,Other,Natural and Induced Fracture Diagnostics from 4-D VSP in Low Permeability Gas Reservoirs,"M. Nafi Toksoz, MITChandra Nautiyal, NETL",,,,,,,,,Final Project Summary-DE-FC26-06NT42956-The objective of this project is to locate and characterize natural fracture “sweet spots” and induced (hydraulic) fractures from scattered wave analysis of 4-D vertical seismic profile (VSP) data in order to optimize well placement and well spacing in low-permeability gas reservoirs,,National Energy Technology Laboratory
12,320583,Other,Research and Development Concerning Coalbed Natural Gas,"Dr. Harold Bergman, U of WyomingJesse Garcia, NETL",,,,,,,,,Final Project Summary-DE-FC26-06NT15568-Coalbed natural gas (CBNG) from the Powder River Basin (PRB) in Wyoming and Montana is a significant component of the U.S. natural gas supply. Environmental concerns over the use of CBNG coproduced water are limiting the development of this important resource. The goal of the 10 tasks in this project is to assist in clearly defining the true environmental issues associated with this water and in developing cost-effective treatment or mitigation technologies that will allow production of the resource without harm to the environment,,National Energy Technology Laboratory
13,320584,Other,Oil and Gas Resource Assessment of the Russian Arctic,"Donald Gautier, USGSVirginia Weyland, NETL",,,,,,,,,Final Project Summary-DE-AI26-05NT15538-The principal objective of the project is to provide partial support to the U.S. Geological Survey for its preparation of a scientifically sound and politically unbiased assessment of oil and gas resources of the offshore and onshore petroleum provinces of the Russian Arctic region,,National Energy Technology Laboratory
14,320585,Other,Development and Application of Insulated Drill Pipe for High Temperature - High Pressure Drilling,"Al Champness, Drill Cool SystemsRichard Baker, NETL",,,,,,,,,"Final Project Summary-DE-FC26-06NT42951-The project goal is to extend insulated drill pipe (IDP) technology to high-temperature/high-pressure drilling applications in deep gas reservoirs by designing and testing IDP, while coordinating with industry to ensure the technology meets stakeholder needs",,National Energy Technology Laboratory
15,320586,Other,Harsh Environment Electronics Packaging for Downhole Oil Gas Exploration,"Aaron Knobloch, GE Global ResearchGary Covatch, NETL",,,,,,,,,Final Project Summary-DE-FC26-06NT42950-The goal is to develop new packaging techniques for downhole electronics that will be capable of withstanding at least 200oC (~400oF) while maintaining a small form factor and high vibration tolerance necessary for use in a downhole environment. These packaging techniques will also be capable of integrating a sensor and other electronics to form an integrated electronics/sensor module,,National Energy Technology Laboratory
16,320587,Other,275°C Downhole Switched-Mode Power Supply,"Dr. Chris Hutchens, Oklahoma State UVirginia Weyland, NETL",,,,,,,,,"Final Project Summary-DE-FC26-06NT42948-The goal of this project is to develop a downhole switched-mode power supply (SMPS) capable of operating at 275oC for 1000 hours. The base SMPS will include among its necessary components, a V2 controller, Buck Converter, and SiC power switches, which together will constitute a DC-DC SMPS.",,National Energy Technology Laboratory
17,320588,Other,High-Temperature Battery for Drilling Applications,"Josip Caja, ESIWilliam Fincham, NETL",,,,,,,,,Final Project Summary-DE-FC26-06NT42946-The goal of this project is to develop prototype rechargeable batteries capable of operating in a high-temperature environment to power a variety of emerging measurement-while-drilling (MWD) and other logging equipment in deep wells,,National Energy Technology Laboratory
18,320589,Other,Deep Trek Re-configurable Processor for Data Acquisition,"Bruce Ohme, HoneywellWilliam Fincham, NETL",,,,,,,,,"Final Project Summary-DE-FC26-06NT42947-The goal of this project is to develop and qualify a Re-configurable Processor for Data Acquisition (RPDA) by packaging previously developed components in an advanced high-temperature Multi-Chip Module (MCM), and by developing configuration software that may be embedded within the RPDA to link data-acquisition system Analog Front-Ends to digital system busses",,National Energy Technology Laboratory
19,320590,Other,High Temperature Capacitor Development,"Dr. Jack Kosek, IncWillaim Fincham, NETL",,,,,,,,,"Final Project Summary-NT-FC26-06NT42945-The goal of this project is to design, develop and test a prototype for a new class of high-temperature high-voltage all-solid electrochemical-electrolytic capacitor for use in downhole electronics for deep drilling and logging applications. The capacitor to be developed will exhibit a low equivalent series resistance (ESR) and will be capable of operating at temperatures exceeding 400o F and pressures exceeding 20,000 psi; a goal is to extend the operating temperature to 450 degrees F",,National Energy Technology Laboratory
20,320591,Other,Development of High Temperature Capacitor Technology and Manufacturing Capability,"Jeff Nelson, Hamilton SundstromWilliam Fincham, NETL",,,,,,,,,"Final Project Summary-DE-FC26-06NT42949-The goal of this project is to design and conduct controlled experiments to systematically optimize manufacturing and testing processes for fluorene isophthalate terephalate (also known as fluorene polyester or FPE) capacitors to encourage the commercial availability of a reliable and affordable supply. Film casting, film metallization, and final capacitor assembly processes will be optimized",,National Energy Technology Laboratory
21,320592,Other,"Subtask 1.2 - Evaluation of Key Factors Affecting Successful Oil Production in the Bakken Formation, North Dakota","James Sorensen, Energy and Environmental Research CenterJohn Terneus, NETL",,,,,,,,,"Final Project Summary-DE-FC26-08NT43291-1.2-The goal of this project is to quantitatively describe and understand the Bakken Formation in the Williston Basin by collecting and analyzing a wide range of parameters, including seismic and geochemical data, that impact well productivity/oil recovery",,National Energy Technology Laboratory
22,320593,Other,Advanced Hydraulic Fracturing Technology for Unconventional Tight Gas Reservoirs,"Ding Zhu, TEES",,,,,,,,,"Final Project Summary-DE-FC26-06NT42817-The objective of this project is to research, develop, and test new techniques for creating extensive conductive hydraulic fractures in unconventional tight gas reservoirs. The project has two main components: 1) development and analysis of a database of information from hundreds of fracturing treatments applied in U.S. basins that can be used to relate production performance to stimulation practices, and 2) development and application of a new type of dynamic fracture conductivity test for laboratory investigations of fracturing practices in tight gas reservoirs",,National Energy Technology Laboratory
23,320594,Other,Solvent Based Enhanced Oil Recovery for In-Situ Upgrading of Heavy Oil,"Norman Munroe, Florida International URobert Vagnetti, NETL",,,,,,,,,"Final Project Summary-DE-FG26-06NT42745-The objective of this project is to gain a better understanding of the methods of upgrading heavy oil through the use of solvents, such as vaporized propane, and development of a reservoir simulator to predict the behavior of a heavy crude oil reservoir subjected to cyclic solvent injection",,National Energy Technology Laboratory
24,320595,Other,National Science Foundation Industry/University Cooperative Research Center for Advanced Studies on Novel Surfactants,"P. Somasundaran, Columbia UBetty Felber, NETL",,,,,,,,,Final Project Summary-DE-AP26-06NT03837-The goals of the University Cooperative Research Center are to perform industrially relevant research to address the technology needs of surfactant-polymer systems. These environmentally benign surfactants are to be developed as more efficient surface-active reagents with specific applications for the industry,,National Energy Technology Laboratory
25,320596,Other,Hydrate Joint Industry Project,"Michael Volk, U of TulsaJim Barnes, NETL",,,,,,,,,"Final Project Summary-DE-AF26-06NT06221-The objective of this research is to derive some key relationships among fluid properties, operating conditions, and hydrate plugging tendencies of crude oil systems. From these relationships and correlations, tools will be developed to better address the risk of hydrate plugging for a given system, therefore resulting in better planning and implementation of hydrate management strategies",,National Energy Technology Laboratory
26,320597,Other,Utah Heavy Oil Program,"Philip Smith, U of UtahRobert Vagnetti, NETL",,,,,,,,,Final Project Summary-DE-FC26-06NT15569-The goal of the Utah Heavy Oil Program (UHOP) is to provide research support to federal and state constituents for addressing the wide-ranging issues surrounding the creation of an industry for unconventional oil production in the United States,,National Energy Technology Laboratory
27,320598,Other,Thermochemically Driven Gas Dynamic Fracturing(TDGF) Technology,"Michael Goodwin, More OilGary Covatch, NETL",,,,,,,,,"Final Project Summary-DE-FC26-06NT15479-The Thermochemically Driven Gas Dynamic Fracturing (TDGF) technology is an effort to dramatically improve on the current technology of hydraulic fracturing by combining the fracturing capabilities of the latter with the benefits of thermally heating the well. This is achieved by pumping a large volume of gas and liquid chemical reagents into a formation, warming the formation via high-pressure combustion, and increasing oil production",,National Energy Technology Laboratory
28,320599,Other,Technology of In-Situ Gas Generation to Recover Residual Oil Reserves,"Sayavur Bakhtiyarov, NETL",,,,,,,,,"Final Project Summary-DE-FC26-05NT15478-The project performer proposes final research and development in the United States to evaluate a technology that was developed at the Institute for Geology and Development of Fossil Fuels in Moscow, Russia. This technology involves in-situ generation of carbon dioxide (CO2) to recover trapped residual oil from reservoirs",,National Energy Technology Laboratory
29,320600,Other,Design and Implementation of Energized Fracture Treatment in Tight Gas Sands,"Dr. Mukul Sharma, UT AustinVirginia Weyland, NETL",,,,,,,,,"Final Project Summary-DE-FC26-06NT42955-The goal of this project is to develop methods and tools that can enable operators to design, optimize, and implement energized fracture treatments in a systematic way. The simulator that will result from this work would significantly expand the use and cost-effectiveness of energized fracs and improve their design and implementation in tight gas sands",,National Energy Technology Laboratory
30,320601,Other,2010 Annual Plan - Ultra-Deepwater and Unconventional Natural Gas and Other Petroleum Resources R D Program,"DOE/NETL, DOE/NETL",,,,,,,,,"Provided in Response to Energy Policy Act of 2005, Title IX, Subtitle J, Section 999(B)e",,National Energy Technology Laboratory
31,320602,Other,Reducing Onshore Natural Gas and Oil Exploration and Production Impacts Using a Broad-Based Stakeholder Approach,"Gerry Baker, IOGCCVirginia Weyland, NETL",,,,,,,,,"Final Project Summary-DE-FC26-06NT42937-The initial goal of this research project is to evaluate the oil and gas exploration and production (E&P;) process, identify the issues that delay or curtail E&P; activities, and identify and publicize practices that ultimately overcome issues that impede the development of new energy resources. A secondary goal is to advance the development of underdeveloped resources in specific basins through a “Basin Initiative Study” to stimulate more widespread awareness and development of domestic oil and gas resources",,National Energy Technology Laboratory
32,320603,Other,Conceptual Engineering/Socioeconomic Impact Study—Alaska Spur Pipeline,"Patrick Knox, inc.Richard Baker, NETL",,,,,,,,,Final Project Summary-DE-AM26-05NT42653-The goal of this project is to provide current information pertaining to the potential construction of a primarily buried spur pipeline that would bring gas from a proposed Alaska North Slope (ANS) gas line to South Central and Interior Alaska. The study is intended to provide comparative information for each of two currently proposed spur pipeline routes.,,National Energy Technology Laboratory
33,320604,Other,The Instrumented Pipeline Initiative,"Thomas J. Piro, Concurrent Technologies Corporation (CTC)William Fincham, NETL",,,,,,,,,Final Project Summary-DE-NT0004654-The goal of the Instrumented Pipeline Initiative (IPI) is to address sensor system needs for low-cost monitoring and inspection as identified in the Department of Energy (DOE) National Gas Infrastructure Research & Development (R&D;) Delivery Reliability Program Roadmap. This project intends to develop a new sensing and continuous monitoring system with alternative use as an inspection method,,National Energy Technology Laboratory
34,320605,Other,An Intelligent Systems Approach to Reservoir Characterization,"Shahab Mohaghegh, West Virginia UniversityTom Mroz, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT41629-The project endeavors to build a correlation between high-resolution seismic data and wireline logs using intelligent systems to bridge the resolution gap between the two data sets. The end result will be an ability to simulate well-log response from seismic traces in the vicinity of a proposed well location.This project will employ intelligent systems (a combination of a neural network, genetic algorithms and fuzzy set theory) to produce well log data from surface seismic data. A series of 2D vibroseis lines, numerous borehole logs, and a 3-component VSP from one well in the Granny Creek oil field in central West Virginia will be used to test the models developed during this project.",,National Energy Technology Laboratory
35,320606,Other,Experimental Investigation and High-Resolution Simulator of In-Situ Combustion Processes,"Anthony Kovscek, Stanford UniversityChandra Nautiyal, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT15405-The project goals are to probe the dynamics of in-situ combustion (ISC) experimentally and numerically, determine how the dynamics may be altered beneficially to expand the applicability and the recovery associated with combustion, and develop process simulation methodologies and capabilities that resolve in-situ combustion dynamics accurately.",,National Energy Technology Laboratory
36,320607,Other,"Fundamentals of Reservoir Surface Energy as Related to Surface Properties, Wettability, Capillary Action, and Oil Recovery from Fractured Reservoirs by Spontaneous Imbibition","Norman Morrow, University of WyomingRobert Vagnetti, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT15408-The project goal is to improve oil recovery from fractured reservoirs through an improved fundamental understanding of the process of spontaneous imbibition by which oil is displaced from the rock matrix into fractures. The fundamental mechanism of oil recovery by spontaneous imbibition is being investigated by an interdisciplinary team. Capillary pressure data and the corresponding change in surface free energy that drives spontaneous imbibition are being measured. New imbibition data, including novel pressure measurements, are being obtained. A network/numerical model is being developed with special emphasis on how imbibition is initiated and on how saturation profiles develop over time.",,National Energy Technology Laboratory
37,320608,Other,T-R Cycle Characterization and Imaging: Advanced Diagnostic Methodology for Petroleum Reservoir and Trap Detection and Delineation,"Ernest Mancini, University of AlabamaNETL, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT15409-The project goal is to develop through transgressive-regressive (T-R) cycle characterization and modeling a sequence-stratigraphic predictive model that can be used for improved petroleum trap and reservoir imaging, detection, and delineation by using the characteristics and geometries of T-R cycle units and their associated bounding surfaces to provide a reliable and advanced approach for targeting stratigraphic traps and specific reservoir facies associated with continental and coastal plain geologic systems. This model also could be used to demonstrate the importance of using T-R cycles in the formulation of advanced exploration strategies in the search for underdeveloped and undiscovered petroleum resources associated with stratigraphic traps and with specific continental and coastal plain facies.",,National Energy Technology Laboratory
38,320609,Other,History-Matching in Parallel Computational Environments,"Steve Bryant, U of TexasChandra Nautiyal, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT15410-Researchers established a general procedure for gradually updating geological models within an assisted history-matching framework. A generic, simulator-independent method of estimating sensitivities via multiple realizations was developed and shown to perform as well as the principal-components analysis. Both methods are more robust ways to adjust permeabilities within the spatial domain. The researchers demonstrated this approach on a realistic 3-D test case. A functional prototype of middleware has been tested. The middleware enables a user to apply the history matching algorithm in conjunction with any reservoir simulator.",,National Energy Technology Laboratory
39,320610,Other,4-D High-Resolution Seismic Reflection Monitoring of Miscible CO2 into a Carbonate Reservoir,"Rick Miller, Kansas Geological SurveyChandra Nautiyal, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT15414-The efficiency of enhanced oil recovery (EOR) programs relies heavily on accurate reservoir models. Movement of miscible carbon dioxide (CO2) injected into a thin (~5 m), shallow-shelf, oomoldic carbonate reservoir around 900 m deep in Hall-Gurney field in Russell County, KS, was successfully monitored using high-resolution 4D/time-lapse seismic techniques. Use of an unconventional approach to acquisition and interpretation of the high-resolution time-lapse/4D seismic data was key to the success of this monitoring project.",,National Energy Technology Laboratory
40,320611,Other,Time-Lapse Seismic Modeling and Inversion of CO2 Saturation for Sequestration and Enhanced Oil Recovery,"Mark Allan Meadows, 4th Wave Imaging Corp.NETL, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT15417-This project has resulted in new algorithms to model accurately time-lapse seismic changes during CO2 injection, and to invert these data to estimate changes in reservoir properties, such as pressure and CO2 saturation, that cause the seismic anomalies. Both modeling and inversion algorithms rely on rock physics relations to estimate seismic parameters, such as velocities and densities, as a function of CO2 saturation and pressure.",,National Energy Technology Laboratory
41,320612,Other,Application of Time-Lapse Seismic Monitoring for the Control and Optimization of CO2 Enhanced Oil Recovery Operations,"Joseph Frantz, Schlumberger Inc.Chandra Nautiyal, NETL",,,,,,,,,"Final Project Summary-DE-FC26-04NT15425-This project is being conducted in two phases. The objective of the first phase is to characterize the reservoir using advanced evaluation methods in order to assess the potential of a CO2 flood of the target reservoir. This reservoir characterization includes advanced petrophysical, geophysical, geological, reservoir engineering, and reservoir simulation technologies. The objective of the second project phase is to demonstrate the benefits of using advanced seismic methods for the monitoring of the CO2 flood fronts.",,National Energy Technology Laboratory
42,320613,Other,Development of Bypassed Oil Reserves Using Behind Casing Resistivity Measurements,"Michael Conner, Terra ExplorationNETL, NETL",,,,,,,,,"Final Project Summary-DE-FG26-03NT15435-Potential oil reserves remain in selected turbidite sand sequences of Santa Fe Springs oilfield. Many productive zones of the field have been waterflooded where more permeable sand layers have preferentially watered out. It is suspected the flood fronts have bypassed lower permeable oil saturated sand intervals. The project used cased-hole resistivity measurements to identify higher oil saturated sands. The successful application of this new, behind-pipe logging tool has widespread application in the US and internationally.",,National Energy Technology Laboratory
43,320614,Other,Interwell Connectivity and Diagnostic Using Correlation of Production and Injection Rate Data in Hydrocarbon Production,"Jerry Jensen, Texas A M UniversityChandra Nautiyal, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT15397-The project is based on improving a method of estimating interwell communication in waterflooded reservoirs, originally proposed by Albertoni and Lake (2003). Their method provided a single parameter (lambda) to estimate the interwell connectivity for each injector-producer well pair. This project’s improvements, termed the capacitance model (CM), have resulted in a method that accommodates variations in both compressibility and swept volume and that provides values for two parameters, lambda and a time constant tau.",,National Energy Technology Laboratory
44,320615,Other,Enhanced Wellbore Stabilization and Reservoir Productivity with Aphron Drilling Fluid Technology,"Fred Growcock, MASI Technologies Inc.Gary Covatch, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT42000-This project has yielded a greater understanding of how aphron drilling fluids function to reduce lost circulation in gas and oil reservoirs without deleterious effects on productivity, thereby promoting acceptance of aphron drilling fluids as a cost-effective alternative to underbalanced drilling. Greater acceptance of the technology could result in enhanced natural gas production and reduced drilling costs, which will result in additional supplies of reasonably-priced fossil fuels for the American consumer. The project has provided new insights into the construction of aphrons and their behavior in drilling fluids, facilitating further improvements in their design.",,National Energy Technology Laboratory
45,320616,Other,"Fundamental Research on Percussion Drilling: Improved Rock Mechanics Analysis, Advanced Simulation Technology, and Full-Scale Laboratory Investigations","Mike Bruno, Terralog TechnologiesNETL, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT41999-Work from this project will provide the industry advancement in the understanding of percussion type drilling. This advancement will be based on a computer model and associated algorithms that can better simulate the drilling process, whether it is percussion, rotary or a combination of both. This modeling encompasses the drill bit - rock interactions as well as the removal of the rock fragments and their subsequent transport by the drilling fluids. With a successful completion of this project, this model can be used by the industry in future research in bit and drilling fluid design",,National Energy Technology Laboratory
46,370450,,Merits And Challenges For Accurate Velocity Model Building By 3D Gridded Tomography,Jiuying Guo(Veritas DGC Inc)|Hongbo Zhou(Veritas DGC Inc)|Jerry Young(Veritas DGC Inc)|Samuel Gray(Veritas DGC Inc),,,,,,SEG-2002-0854,"2002 SEG Annual Meeting, 6-11 October, Salt Lake City, Utah",2002,"A good migrated image depends strongly on the accuracy of the velocity model. For tomographic velocity analysis, pick errors, null space, velocity ambiguity, and intrinsic non-linearity all have a strong effect on the accuracy of the velocity model. Our post-migration tomography algorithm can work on either common image gathers (CIG''s) or common angle gathers (CAG''s). A large number of depth residuals and the structural dip field are automatically picked and high-graded.",,Society of Exploration Geophysicists
47,424193,,Integral Sintered Metal-Fiber Screen Sand Control Technique,"Dezhu Liu(Liaohe Oilfield Company, PetroChina)|Houli Sun(Liaohe Oilfield Company, PetroChina)|Xiangming Liu(Liaohe Oilfield Company, PetroChina)|Jianjun Zhang(Liaohe Oilfield Company, PetroChina)|_ ZhaoPing(Liaohe Oilfield Company, PetroChina)|Shaojin Che",,,,,,SPE-77846-MS,"SPE Asia Pacific Oil and Gas Conference and Exhibition, 8-10 October, Melbourne, Australia",2002,"The integral sintered metal-fiber screen (hereinafter called ISS screen)sand control technique overcame the weakness of long-term and difficultoperation, high cost and difficult workover caused by gravel packing mechanicalsand control, as well as the formation damage and short term of validity causedby chemical sand control. With its special technical advantages, thistechnology is developed rapidly and its application is continuously expanding.It has become a dominant sand control technique developed for solving sandproducing problem during heavy oil thermal recovery in Liaohe Oilfield, whichcan be applied in the vertical wells, deviated wells, sidetrack wells,open-hole wells and horizontal wells. This technology has realized itsstandardization and systematization, resulting in a very good applicationeffectiveness and benefits and also contributing a lot to increasing oilproduction for Liaohe Oilfield. This technology has been awarded the Chinesenational patent and the first prize from CNPC for technologicalpopularization.Sand Control MechanismThe integral sintered metal-fiber screen sand control technique aims at thewhole wellbore sand control, that is, to run the sand control string composedof packer, screen and downhole tools down into the wellbore, and place the sandcontrol string through the sand producing layer, and then set and release thepacker, in this way, the downhole sand control string system is formed.With the pored steel pipe as the base pipe, and under high temperature andhigh pressure, the metal-fiber filtering units are sintered onto the base pipe,forming the stereoscopic reticulated sand prevention barriers (See Fig. 1) .Crude oil and the fine silt sand of &lt;0.08mm can pass through the metalfiber barriers, and are pumped out of the wellbore together with the oil flow;while the coarse sand of &gt; 0.08mm will be stopped outside the screen,forming the first filtering sand bridge (See Fig. 2) .Technical FeatureCompared with the common sand control screen, the sintered metal-fiberscreen has the following characteristics:With its integral structure of internal pipe, external pipe and sand controlfiltering layer, this technique is characterized by high strength and largeinterior drift diameter, and it also shows that it is easy for the downholetools and testing tools to pass through, meanwhile the sand removal tools canbe run inside, in this way, the regular sand washing and unplugging can berealized, which contributes to the long-term and stable production after sandcontrol.It is featured by thick stainless metal-fiber filtering layer, evendistribution, big flowing area(272 cm2/m), highpermeability(30-120&micro;m2), high sand controlcapacity(&gt;0.08mm fine silt sand can be stopped), less flowing resistanceand no affect on the well production.The sand control elements and pipe body are sintered under high temperatureand high pressure, and the materials of metal-fiber are the anticorrosivestainless, therefore, the sand control screen can resist high temperature(350&deg;C) and acid and alkali medium corrosion (can be used in the medium of PH2-11 for long period of time). It can not only meet the technical requirementof long term and continuous steam injection, but as well not affect theacidizing and alkali cleaning operations.The metal-fiber screen is the single- layered structure, which is featuredby good flexibility, no collar, easy up and down. It's convenient for the sandcontrol operation in the horizontal wells, sidetrack wells and open-holewells.",,Society of Petroleum Engineers
48,320617,Other,Drilling Optimization Utilizing Surface Instrumentation for Downhole Event Recognition,"John H. Cohen, Maurer TechnologiesNETL, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT41782-This projects aims to optimize the rate of drilling penetration and maximize bottom-hole assembly component life. Through a series of side-by-side laboratory and field calibration tests with downhole subs, special algorithms will be developed that allow an instrumented surface sub to process critical drilling parameters to detect and recognize downhole events. The field tests shall be structured to maximize the range of drilling conditions. Drilling depth, hole size and inclination, drilling targets, and a variety of rock strengths shall be varied between the test sites. Data from both subs shall be time tagged and synchronized for post analysis. Numerical analysis and digital filtering will be applied to the surface recorded data for all observed events to determine what can be detected at the surface (i.e., signature of the event) and how it differs (level of attenuation, signal modification) from data recorded on bottom. The data will then be analyzed to determine the feasibility of using surface measurements for drilling optimization and event recognition based on the fidelity of the surface measurements and the uniqueness/ease of detecting the event signature.",,National Energy Technology Laboratory
49,320618,Other,"Current Industry Capability Summaries for Two Topics Related to Small-Diameter Wells: Hydraulic Motion in Small-Diameter Pipes, and Small-Diameter Drilling Motors Available to Industry","Lindy Walker, RIO Technical ServicesNETL, NETL",,,,,,,,,"Final Project Summary-DE-AP26-03NT20429-Rio conducted a literature search and interviewed key knowledgeable persons about the current capabilities of downhole motors related to small diameter drilling and related also to ultra-high-speed drilling bits (rotating up to 50,000 rpm). This effort summarized and defined the operating conditions of the various types of downhole motors and their limitations. The report identified current (at the time) research that was being conducted on the topic by service companies, universities, national laboratories or other research and development organizations. The report identified continuing industry needs in this area of technology",,National Energy Technology Laboratory
50,320619,Other,Development of Radar Navigation and Radio Data Transmission for Microhole Coiled Tubing Bottomhole Assemblies,"Larry G. Stolarczyk, Stolar ResearchVirginia Weyland, NETL",,,,,,,,,"Final Project Summary-DE-FC26-03NT15477-Stolar Research Corporation (Stolar) has successfully developed pre-commercial prototypes of two technologies, the Stolar Data Transmission System (DTS) and the Stolar Drill String Radar (DSR), for application in coiled tubing drilling environments. These technologies are also applicable to conventional segmented pipe drilling.",,National Energy Technology Laboratory
